ABIRATERONE	2174974
LERCANIDIPINE	3213601;2222259;3185098;3213185;3191472;2222124;3151716;5820191;2210285;2222242;3915800;3915846;2222265;3156257;3161198;2210339;3859533;3916053;3370878;3367764;5820216;3722863;3917070;3915912;3873757;3924147;3494913;3859639;3915881;3287953;3722886;3327517;3165486;3783617;3283211;3924087;3467603;3722596;3467721;3859674;4918539;3917041;4154154;3163116;3353236;3712422;3294545;3712416;3712439;3722604;3354974;4918568;3282654;3282743;3175473;3915728;3915757;3783385;3319357;3287999;3779550;3712445;2210138;2222638;3467572;3294516;3110373;3283174;4918373;3153187;3178856;3778042;3467767;3924118;2210090;3153299;3147583;3873929
LEVOBUNOLOL	3458610;3284937
LEVODOPA	3172463;3356654;3634573;3356938;3853884;3240762;3200805;3944256;3436821;3832899;3331312;3832830;3762130;3298537;3762093;3832959;3436850;3170429;3634627;3944196;3634538;3170487
LEVOFLOXACINE	3949874;3496556;3991149;3949791;3958028;3988271;4196431;3949667;4949132;3752746;4928851;3911015;3979645;2202647;4927722;4900568;4900396;3958413;3988319
LEVOMENTHOL	3919962;3009728;3340587;3045411;3112662;3013144;3013138;3372618;3372624;3118044;3326771;3897025;3326759;3112679;3299695;3037481;3050984;3009711;3308655
LEVOMEPROMAZINE	3074312;3074281;3074298;3272578;3074275
LEVONORGESTREL	3918106;3567322;3280709;4911336;3280715;3641372;3392928;3770000;3910808;3910234;3567316;3730756;3675945;2217896;4911342;3182390;3918112;3184087;3220073;3184064;3182409;3220067;3588436;3553113;3588413;2217904;3847926;3899981;3899975;3847932
LEVOTHYROXINE	3253859;3490909;3933838;3933531;3490855;3980140;3933548;3748377;3933749;3490861;3933755;3478340;3979898;3933577;3500714;3933821;3979906;3979846;3980275;3500737;3980269;3979786;3933695;3490890;3979792;3811265;3319191;3980157;3933809;3490944;3933436;3933703;3979993;3933382;3237197;3979852;3933790;3500766;3980016;3462787;3933778;3319185;3478357;3979734;3500660;3319216;3933815;3980217;3490938;3933761;3933399;3933784;3500683;3462793
LIDOCAINE	3400088;3511706;5001234;5002498;3229938;3237240;3268447;3310770;3637755;3422397;3529511;3634461;3115318;3115264;3115212;3400705;3115376;3115382;5002564;3421506;3310801;3511511;3224792;3422405;3115241;3853559;4987552;3253948;3527989
LINCOMYCINE	3259081
LIOTHYRONINE SODIQUE	3027755;3748377
LISINOPRIL	3299904;3668193;3873125;3587945;3668164;3715395;3729859;3791427;3317329;3875673;3668187;3641550;3728914;3665071;3668201;3729428;3876276;3715372;3673113;3738462;3665065;3729440;3742506;3299910;4942495;3668218;3780748;3745309;3673099;3673142;3724230;3720522;3768279;3641573;3689025;3863049;3768285;3671137;5659933;3830794;3745232;3878996;3735185;4942319;3722780;3729842;3739220;3878973;3739208;3739639;3299873;3735162;3668170;3602515;3602521;3739237;2172225;3673076;3647854;3739214;3742498;3729871;3588471;3791373;3744540;3299896;3744586
LISURIDE	3328451;3348028;3328439
LITHIUM	3666722;3372736;3000911;3137633;3336002;3075151;3754662
LOFLAZEPATE	3240302
LOMEFLOXACINE	3345975;3379649
LOPINAVIR	3761001;4940964;3566819;3760993;3844201
LOPRAZOLAM	3248781
LORAZEPAM	3365156;3574693;3148996;3404382;3417396
LORMETAZEPAM	3544700;3496674;3298684
LOSARTAN	3870569;3976486;3896652;3835691;3896698;4964077;3870581;3835550;3899722;3968015;3854518;3892022;3967984;3714616;3877169;3784947;4913996;3870210;3835656;3854257;3898125;3854205;3854671;3787319;2194385;3825540;3891962;3892393;3870641;3836124;2188083;3568362;3835604;2188870;3854487;3714591;3936363;3568296;3854599;3714450;4151351;3714467;3896847;4933378;3896801;2197604;4914033;4933349;3863411;4997533;3955952;3784918;4930919;3899751;3979941;3964649;4930931;3870233;3927364;3857511;2194416;4934337;3852956;3896563;3385207;3985278;3952250;3787360;3857534;2197780;3946657;3870664;3985315;3964566;3870291;3926146;3714504;4901065;3863285;3891703;3927482;3946640;4934283;3993728;3943570;3985350;3863380;3577875;3385242;3993734;3964690;3774883;3927424;3830162;3837307;3854346;3955923;2197567;3751557;3952178;3933270;3964862;3774848;3964508;3926100;3964922;4900232;3989425;3518625;3887647;3877100;4989485;3870316;3926063;3993243;3854659;3854719;3825505;3714496;3854530;4990293;3899260;5813050;3932715;3899685;4990330;3890626;3932684;3899248;3836294;4989522;3852784;3965293;3976492;3584958;3968050;3714088;3956058;4151368;3968096;3989543;3899716;3892424;4901094;2197751;3933301;3829940;2188350;3943618;3946746;3825913;3927312;3984787;3934022;3870322;3956064;4196201;4931729;3946700;3829851;3825965;3946752;3857557;3946692;3926034;3993579;4990040;4931758;3852815;4196170;4990011;3830268;3964767;3852927;4151380;4934490;4934538;4151374;3964968;3965011;3863262
LOXAPINE	3398428;3343574;3233420;3222770
LYMECYCLINE	3675980;3609598;4158809;3104875
MAGALDRATE	3474371;3478624
MAGNESIUM (HYDROXYDE DE)	3139193;3537232;3311143;3538295;3022315;3545504;3979349;3538237;3244027;3413613;3490418;3421794;3135812;3979361;3043085;2179150;3421819;4985168;3062929;3538220;3762590;2189705
MAGNESIUM (TRISILICATE DE)	3043085;3325688
MANIDIPINE	3783741;3804845;4175908;4198915;3591935;3783793;3748242;3804851;3783712;3790741;3804928;4181613;4175860;3804905;4198938;3789229;3748265;3790385;4181636;4198944;4181659;4198921;3748294;4181642;3783824;3788891;4175877;3748271;4175848
MANNITOL	3448741
MAPROTILINE	3222913;3140233
MARAVIROC	3823498;3823481
MECLOZINE	3348838
MEDROGESTONE	3130861
MEDROXYPROGESTERONE	3578515;3578538;3344355;3517525;3238699;3578490;3261439;3265733;3166830
MEFLOQUINE	3396168
MELOXICAM	3709408;3983606;3709472;3539745;3539739;3389062;3917302;3989715;3917420;3718264;3966358;3965956;3765507;3396085;3718169;3966097
MELPHALAN	3607599
MEMANTINE	3874030;3595531;2759433;3595560
MENTHE	3037512;3006575;3037506;3326759;3600284;3132854
MEPROBAMATE	3216841;3036895;3860938;3458219;3065856;3517525;3860944
MEQUITAZINE	3181568;3364694;3627308;3263680;3395832
MERCAPTOPURINE	3643112
MEROPENEM	3878306;5824467;5824450
MESALAZINE	3675879;3338254;4985843;3585685;3588117;3350373;3293474;3350367;3442477;3350284;3327888;3338231;3478618
METFORMINE	3192750;3192767;3924288;3925394;3466590;3723408;3812974;3675336;3924472;3491234;3722461;3925299;3044802;3566185;3739177;3813005;3667101;2215213;3667087;3547822;3852318;4965148;3901608;3544491;3521946;3650193;4158198;3773435;3524442;3739160;3855848;4965444;3723383;3876336;3925201;4965355;3729173;3720485;3970348;3728966;3566127;3616138;3530081;3869626;3612293;3583580;3784338;2215236;3739444;3730874;3491211;3794638;3580222;4979251;3670853;2208696;3689031;3924182;4965591;3893464;3925112;3893487;4158703;3855831;3901577;3893470;3650112;3670907;3528167;4980030;3794609;3580280;4979162;3855825;3670899;3737735;3728943;3577237;3893458;3730348;3650017;3580162;3925514;4158755;3924360;3901525;3970590;4965527;3689462;3580251;3970650;3704003;4912040;3580334;3865321;3884011;3521952;3577266;3650158;4965243;3488870;3827705;3925448;3566156;3730845;3612324;3868868;3532341;3763299;4912301;3704049;3722768;3970288;4912117;3883158;3670847;3868986;3868874;3763247;3729196;4912376;3612258;3650276;3865344;3924615;3924555;3763313;4912577;3616121;4979127;3739987;3724075;3583568;4158399;3656072;3566162;3560231;3650282;3560171;4979038;3724069;4912643;3883129;3612287;3867811;3801025;3801054;2200789;3867797;2200803;5816924;3784120;3800758;3673722
METHADONE	3389458;3791491;3389435;3805081;3791479;3791485;3791462;3400415;3400421;3389441
METHOTREXATE	3349826;3721697;3160218;3721562;3721823;3717543;3067068;3150125;3150148;3721421;5642401;3897404
METHYCLOTHIAZIDE	3285049
METHYLDOPA	3173801;3002198
METHYLENECYCLINE	3173072;3404471
METHYLERGOMETRINE	3355933;3066979
METHYLPHENIDATE	3615558;3653501;4972674;3653518;3615541;4972622;3653493;3392940;4972616;3615564
METHYLPREDNISOLONE	3318984;3097187;3867722;3723242;3097170;3155281;3065595;3029352
METHYSERGIDE	3029820
METIPRANOLOL	3287261
METOCLOPRAMIDE	3279161;3086143;3661819;3532921;3440857;3368976;3086166;3182579;3592840;3297584;3086120;3440863;3231792;3297348;3231800
METOPIMAZINE	3649793;3171481;3205441;3114968;3114945;3331625;3634828
METOPROLOL	3766688;3715030;4165583;3739361;3722544;3736291;3852494;3225047;3739355;3230373;4165554;3748213;3722521;3264544;3766694;3584674;3310899;3310847;3378851;3714409;3714421
METRONIDAZOLE	3131694;3040017;3671396;3671462;3711026;3670528;3710647;3554727;3619361;3711581;4929158;3710765;3710831;3710593;3671350;4929201;3710819;3040000;3710914;3670534;3415256;3074772;3482815;3311551;3710392;3710854;3671427;3311568
MIANSERINE	3342385;3614470;3586704;3661854;3583516;3583479;3573736;3614464;3215043;3573630;3674644;3342379;3573802;3573788;3614458;3370737;3661848;3573601;3261178;3586673;3573713;3661825;3583491;3586319;3674638;3674621;3613223;3573819;3573624;3586348;5642275;3483335;3613281;3613217;5642281;3573699
MICONAZOLE	3772364;3268068;3483080;3194105;3238713;3217510;3160187
MIDECAMYCINE	3338107;3560142
MIDODRINE	3482554;3482548
MILLEPERTUIS	3587394;2196148;3872433;3626177;3627892;3653027;3587419
MILNACIPRAN	4171431;3419774;3419857;2698594;4171460
MINOCYCLINE	3680811;3411689;3475838;3403402;3403394;3516477;3403388;3431338;3479701;3361804;3666596;3409830;3387376
MIRTAZAPINE	5819638;3772631;3784657;3772542;3846128;3902341;3846111;2208590;2208584;3445412;3767386;3784634;3599523;3694658;3902223;3912109;3810656;3772648;3761449
MITOMYCINE C	3575480;3604767
MIZOLASTINE	3639808;3639777
MOCLOBEMIDE	3332493
MODAFINIL	3346466;4926941
MOEXIPRIL	3414883;3414877
MOLSIDOMINE	3573185;3510256;3573096;3555483;3573104;3576781;3614493;3555572;3555603;3582592;3570577;3674673;3582586;3774340;3241106;3555537;3555520;3241081;3584088;3303592;3555543;3674667;3555425;3555431;3616144;3555566;3680768;3674650;3614487;3582557;3584071;3573110;3555589;3584059;3555419;3574546;3666662;3666656;3555595;3555514
MONMECTITE	3229708;3229714;3244027
MONTELUKAST	4161533;3931124;3931236;3461411;3461339;3461285
MORNIFLUMATE	3188636;3132133
MORPHINE	3429123;3402130;3690577;3690637;3690778;3690755;3690689;3441093;3429146;3691068;3691163;3691051;3691105;3405370;3332369;3287002;3332375;3561992;3438760;3332352;3562017;3286988;3286971;3495137;3499000;3438725;3332381;3438748;3562069;3658728;3430066;3347997;3658763;3286994;3499230;3348005;3499129
MOXIFLOXACINE	3575793;3575787
MOXONIDINE	3377828;3795388;3735363;3735311;3776959;3793596;3768374;3714852;3377892;3793662;3735400;3745054;3776913;3735386;3777189;3714869;3735334;3768397;3777226;3745108;3795402;3735305
MYCOPHENOLATE MOFETIL	4914145;3953315;3850041;4946599;3740039;3957402;3957425;4991789;3850064;3595258;4945619;4946636;4921286;4929715;3595270;4917959;2179167;3595293;4924451;3998950
MYCOPHENOLATE SODIQUE	3630919;3630871
MYRISTALKONIUM	3233006;3265006;3240408
NABUMETONE	3327115;3327173;3465018
NADOLOL	3478328;3238044
NADROPARINE CALCIQUE	3473288;3338917;3348761;3348896;3278285;3473302;3473331;3278256;3473319;3473348;3473360;3324654
NALOXONE	3776132;3776155
NALTREXONE	3886197;3989721;3675721
NAPROXENE	3322827;3238104;3322833;3344993;3467135;3353644;3205056;3168438;3502417;3168444;3506214;3467187;3266135;3250039;4997415;3467170;3467224
NARATRIPTAN	3861398;2207018;3439423;3861406;2181508;4939211;3554673;4939352;4182245;4182239;4188236;2181514;4939323;4188093;4936313;3554696;4936299;4939197;3464220;4188087
NATEGLINIDE	3569887
NEBIVOLOL	3939752;3836650;3939634;3751497;4988273;3876980;3742073;3836710;3939717;3877175;3939769;4989976;3939663;3939775;3982802;3932968;3983026;3974091;3742096;3618746;3983380;3974145;3807335;3877293;3939798;3939781;3982831;3983351;3982989;3968363;3932916;3968311;3742044;3983150;3937492;3751451;3937523;3416971;3876879;3807306;3742038;3983196;3982920
NEFOPAM	3242175;3587655
NEOSTIGMINE	3087036
NETILMICINE	3245268;3245251;3245274;3245245
NEVIRAPINE	2189898;3461144
NIAOULI	3289521;3919962;3025526;3839737;3850495;3839654;3953870;3897025;3045687;3312438
NICARDIPINE	3278204;3295510;3278173;3719648
NICORANDIL	4171514;3742819;3354833;4170354;3780352;3354827;4171537;3354856;3354810;4168819;3742794;3780369
NICOTINE	3768055;2689589;3631712;3763141;3763135;3654966;3470284;3649899;3575238;3701335;3763158;3873013;3631623;3872953;3649988;3655049;3872901;3872999;3631675;3900336;3763075;3710073;2689431;3867277;3872887;3709897;3873071;3709957;3649936;3709696;3644761;3644784;3649907;3867254;3709621;3767995;3867231;3470278;3939545;3631586;3631534;3631646;3631497;2203196;3701306;3867219;3763129;3701329;4998136;3709839;3763112;3763098;3767972;3939522;3709762;4998159;3799239;3686854;3892447;3798671;3686848;3798694;3640906;3640898;3891991;3571967;3838063;3838100;3795572;3346839;3795649;3965063;3795595;3965092;3346791;3346874;3346785;3365297;3965123;3346845;3965100;3838028;3588198;3838057;3483890;3483921;3965034;3838011;3837980;3795603;3795632;3965057;3346756
NIFEDIPINE	3274028;3715018;3474879;3274011;3614375;3761082;3299956;3223485;3456870;3299962;3578047;3719683;3723874;3761136;3746562;3689203;3738290;3728995;3689166;3714993;3399528;3322738;3223479;3730035;3770193;3399534
NILOTINIB	4981584;3827869;4981590;2168755;3827881;2168761
NIMESULIDE	3741406;3853720;3392868;3392851;3895486
NIMODIPINE	3657261
NITRAZEPAM	3553969
NITRENDIPINE	3724282;3714786;3300369;3730118;3485989;3714792;3724307;3614381;3300375;3484820;3719677;3715082;3730093;3614398;3486664
NIZATIDINE	3309264
NOMEGESTROL	3655724;3817279;3869253;4190813;3584622;3645370;3869187;3828024;3832391;3817345;3266112;4190836;3901620
NORADRENALINE	5002564
NORDAZEPAM	3272957;3272963
NORELGESTROMINE	3605152;3605146
NOREPINEPHRINE	5002564
NORETHANDROLONE	3072885
NORETHISTERONE	3254913;3254936;3584792;3487994;3314555;3254882
NORFLOXACINE	3674710;3626697;3679742;3278457;3626705;3626734;3613341;3612554;3626711;3746533;3612548;3308572
NORGESTIMATE	3384024;3589938;3589967;3304723;3304717;3589950;3589944
NOSCAPINE	3160508
OCTREOTIDE	3651092;3651086;3424410;3424433;3424427;3651063
OFLOXACINE	5667921;3671611;3623842;5642051;3603087;3616670;3767469;3290323;3769356;3391248;3635779;3767340;3617988;3635839;3645298
OLANZAPINE	4939932;3834697;3545421;3954444;2214449;2207952;4939984;4950419;4939955;3952876;4187917;3423770;3947987;4939837;2210049;3863724;2209997;3952764;3966625;3952988;3940749;3864089;4939895;4943359;2169341;4939843;3954510;3864190;3967174;4939949;3936854;4998863;3471272;3945451;3967286;2207946;4939978;4939961;3951428;3936883;3948024;4925396;4939872;3917532;3545438;4999035;3880898;3937227;3834817;3937061;3423787;3834740;3423801;3834711;3553716;3545450;4950425;4187975;3917495;4151196;3754573;3989773;2207923;3882006;3936995;4993096;3936920;3863641;4939926;4943419;3937121;3966803;3937196;3945422;4998969;3955478;3945439;3545444;4151285;3951316;3952793;4944790;4939903;3834846;3917472;3989804;3945505;3966890;3880817;3863807;3945497;3863902;4944672
OLMESARTAN	3740200;3722136;3885430;3885401;3885387;3722107;3720746;3629543;3720769;3722142;3502386;3722219;3740246;3623316;3740186;3885476;3722225;3885447;3720723;3502452;3502481;3722202;3740217;3885418;3722113;3502475;3629454;3885826;3885849;3722194;3623210;3885743;3885772;3502469;3502423;3740140;3502446;3740163;3720663;3502392;3720700;3720692;3885803;3885789
OLSALAZINE	3330407;3394028
OMEPRAZOLE	4150943;4976778;4976790;3632522;3413010;4976399;3667354;4976353;4976376;3753266;3667408;3409712;3628785;3628443;3688729;3667348;3667360;3688735;3409698;4976502;3688385;3648434;3629164;3629052;3628874;3629158;3666834;3666840;3667437;3688741;3680521;3628779;4976620;3628710;3667377;3629069;3954154;3628704;3667673;3667383;3686274;3667271;3628851;3680544;3666828;3648351;3667288;3628727;3667696;3666857;3638855;3648428;3409801;3628466;3666811;3413004;3648411;3667265;3628868;3629170;3628791;3680478;3680484;3667331;3954177;3954119;3840841;3954148;3688379;3680662;3981607;3632433;3638849;3628621;3667325;4976241;3686268;3638861;3629023;3632462;3688439;3840752;2695408;3753243;3408144;3632456;3629000;3658349;4976927;3629046;3629017;3658361;3688675;3629075;3667443;3688681;4976896;3674733;3981582;4976264;3981576;3680596;3628288;3628294;3666863;3680573;3648285;3628118;3408109;3648368;3628093;3648374;3680395;3680538;3666805;3628124;3680403;3628242;5656567;3408121;3629081;3674727;4976904;3674756;3954094
ONDANSETRON	3949130;3616380;3353822;3353928;3949153;3616368;3353874;3949087;3949093;3763543;3761596;3761567;3776296;3804354;3804348;3353897;3763566;3824003;3761633;3761656;5697690;3616204;3768687;3353934;3823989;3616411;3776310;3776327;3768693;3353845;3763632;3416563;3813465;3763626;3813666;3781908;4991507;3828403;3786231;3781989;3823854;4991499;3786225;3797200;3781995;3823860;3828426;3781943;3438808;3781883;3439446;3797217;3781564;3439498;3439452;3781558;3439481
ORLISTAT	2193463;3478096;4950170;4950106
OXACILLINE	3193560;3015226
OXALIPLATINE	5704852
OXAZEPAM	3095952;3588755;3314704;3095969
OXCARBAZEPINE	3798286;3986757;3535724;2236586;3798346;3986740;3967576;3579012;3797878;3535747;3535701;3535718;3535753
OXETORONE	3180853
OXITRIPTAN	3333802
OXOMEMAZINE	4919148;4924445;4921553;4924681;4922127;4926912;2240079;4924675;4921524;3595784;4916463;4921518;3689545;4924652;4924623;4921530;2240085;4921547;3730762;4924669
OXPRENOLOL	3714757;3718011;3718034
OXYBUTYNINE	3273075;3595956;3433113;3595979;3483513;3417657;3369562;3766702
OXYCODONE	3845844;3624238;3669034;3624215;3804259;3624190;3542948;3804213;3542227;3845985;3846022;3804288;3542150;3845873;3542090
PANTOPRAZOLE	3558406;3597346;3827786;2179807;3914634;3383935;3797499;3558530;3558487;3938988;3932218;3938965;3932201;3447581;3907232;3903010;3558470;3870397;3827757;3383993;3877850;3907427;3938847;3915473;3558398;3878507;3878430;3930768;3914657;3752798;3915160;3903056;3470663;2179813;3915421;4911796;3903062;3903027;3930774;3470723;4161183;3914522;3930751;4160829;3878217;3907999;3797476;4160798;3470686;3878536;3907255;3753094;3925572;3903033;3938824;3921338;3878565;3907278;2175821;4160982;3878105;3914628;4160924;3914491;4911715;3470522;3827734;3908013;4911709;3797482;2175838;3878080;3753088;3460653;4161042;3383987;3877637;3908088;3907456;3460618;3907309;3959447;3870374;3597441;3915125;3921321;3921315;3877614;3752806;4171974;4188331;3827817;3753119;3952468;3959430;3826870;4188348;3826858;3878246;3932081;4161007;3878401;3470717;3907284;4911879;3925543;3827792;3915148;3915208;3932075;4911632;3915177;3877838;3580179;3579064;4911626;3925767;3877815;3878200;3558441;3470551;3907982
PARACETAMOL	3610124;3443790;3610265;5820268;3246658;3335959;3634946;3499879;3694612;3585691;3656847;4153396;3766719;3273655;3521202;3761053;3638163;3197500;3841007;3273649;3447463;3648546;3918767;3740660;3953870;3461546;3696479;3919005;3480986;3581753;3574256;3515495;3390562;3390585;3267904;3624698;3884962;3625657;3702458;3611514;3615883;3638186;3331677;3318085;3705095;3628928;3638200;3118340;3499945;3705238;3698604;3480940;3574871;3308483;4917391;5814641;3232018;5814658;3906971;3740677;3312941;3771117;3673047;3886352;3290205;3331909;3624669;3631830;3617149;3819829;3450809;3934861;3335988;3458366;3486606;3488338;3105030;5820274;3270591;3599753;3450778;3820057;3376668;3322075;3689456;3819686;3571393;3434880;3821447;3886346;3292227;3108778;3921172;3633668;3852531;3989388;3553107;3434874;3989359;3577007;3304746;3766501;3584817;3782871;3529103;3549910;3771040;3221380;3338194;5845222;3108761;4151150;3293534;3611508;3696462;3328379;3256757;3595583;3556293;3307199;3627550;3637324;5800745;3233153;3931354;3412559;3482152;5824906;3819806;3529422;3886369;3473058;3610242;4911543;3257001;3655718;3565292;3549927;3390579;3574865;3390533;3826723;3529178;3818037;4989835;3574262;3351639;3989365;5820251;3499833;3351579;3258615;3792094;3338811;3585739;3915935;3902364;3571387;3752491;3558978;3638157;3819723;3404695;3628940;3826812;5820280;3333251;3771034;5858584;3400390;3330465;5825076;3289521;3327581;3499916;3906959;3840982;3575327;3480911;3610503;3902447;3673751;3638192;3390556;3871043;3613335;3320797;3519702;3517301;3481017
PARAFFINE	3369711;3491688;3405594;3309502;3062929;3062935;3057035;2224554;3437223;5824289;3323407;3544462;3544485;3437217;3131441;3175929;3129510;5824266;2225223;3391722;3129527;3324499;3391739;3338969;3391679
PAROXETINE	3697444;3639211;4150340;3352538;3677246;3668750;3492860;3867047;3797424;4981549;3639234;3615529;3601125;3601131;3685518;3934045;3741731;3742676;3742699;3695385;3685470;3742742;3741671;3742647;3779544;3810024
P A S SODIQUE	3425409
PEFLOXACINE	3298253;3319825
PEG-INTERFERON ALFA-2A	2171734;2171817;2171697;3599581;3599606;3599612;2171680;3599598
PENFLURIDOL	3176099
PENICILLAMINE	3203169
PENTAMIDINE	3322891
PENTOXIFYLLINE	3582830;3614429;3348732;3497679;3664930;3679618;3587922;3741381;3227572;3512841
PERINDOPRIL TERT-BUTYLAMINE	4989143;3879381;3946456;3862104;3504178;3929185;4940332;3919525;3862280;3450933;3879346;4973107;4940415;4991200;3450910;3310327;3929239;3895115;4977950;2169401;3765275;4935319;3310646;3929535;3862133;3764548;3861984;3929044;3953350;4978056;3310669;3928990;4940355;4977921;3939485;3894558;3894618;3861949;3929759;4935526;4977878;3919790;3629313;4940438;3848239;4935087;3764637;3848185;3919755;4910064;3848506;3629224;3894452;3946491;4935288;3848541;4935615;3939930;4977849;3468904;3764608;3929707;3468991;3886903;3939918;4991217;3469068;3919703;3862601;3890891;4973082;3891117;3879464;3765358;3110976;3765329;4922216;4935118;3629247;4935472;3765246;3919614;3886872;4948032;4922185;3940181;3110918;3310416;4991192;3862647;3886984;3764519;4973171;3629342;3919666;4910242;3310505;3895049;3939462;3310480;3310445;3919488;3862328;3111013;3886955;3450867;3450896;3310439;3929570;3891057;3310557;3504103;3879429;4978010;4973194;3310586;3940169;3895173;3890951;3665906;4900433;3665875;3782345;4900522;3858195;3858060;3665958;3858396;4900456;3858433;4900887;4900870;3858143;3858315;3666076;3666030;3858025;4900893;4900901;5704361;3858278;3931584;3782322;3782405;3931549;3782428;3665987
PETHIDINE	3620306
PHENIRAMINE	3335959;4989835;3270591;3351579
PHENOBARBITAL	3313308;3286209;3002264;3055496;3289610;3005713;3042507;3002229;3042513;3042536;3289627
PHENOXYMETHYLPENICILLINE	3194915;3282660;3282708;3181031
PHENYLBUTAZONE	3016349
PHENYLEPHRINE	3773062
PHENYTOINE	3030303
PHOLCODINE	3584527;3272615;3562129;3394643;3422807;3506616;3464496;3180770;3903458;3396004;3668460;3272621;3626651;3464473;3572151
PHOSPHORE	3571861;3571855;3075205
PILOCARPINE	3241945;3241968;3325760;3399178;3457355;3325754;3325783;3457361
PIMETHIXENE	3137900
PIMOZIDE	3130714;3130720
PINDOLOL	3224243;3054261;3714674;3224266;3233785;3714705;3718057
PIOGLITAZONE	3556324
PIPAMPERONE	3130045;3032319
PIPERACILLINE	3691921;3691944;5641471
PIPERAZINE	3174545
PIPOBROMAN	3487273
PIPOTIAZINE	3141913;3141942;3141971;3137231;3140486
PIRETANIDE	3322247
PIRFENIDONE	4168848;4168831
PIRIBEDIL	3169900;3108608;3189067
PIROXICAM	3450063;3430149;3430132;3643106;3396889;3263697;3607613;3286103;3674779;3424048;3436198;3679593;3473153;3396895;3396754;3383674;3611566;3436206;3607429;3360957;3674785;3611537;3286095;3456918;3319392;3611543;3473124;3263823;3487735;3359598;3242212;3498934;3487770
PIROXICAM-BETADEX	3360957;3487770;3359598;3487735
PIZOTIFENE	3137538;3137544
POLYMYXINE B	4948351;2161055;3143237;3085020
POLY (STYRENESULFONATE DE CALCIUM)	3804986
POTASSIUM	3366635;3290814;3788164;3630032;3360213;3777574;3288622;3746177;3293669;5555665;3390591;3290808;3290599;3675046;3630003;3777551;3675023;3866071;3928122;3634024;3630049;3777522;3400102;5653422;3676502;3321733;3560343;3866059;3676519;3777456;3777491;3928079;3928091;3560260;3866065;3205866;4947682;3855179;3327782;3640970;3246747;3130418;3653317;3245400;3560337;4947653;3540168;3556525;3698811;3698805;3411040;3276576;3070136;3346147;3292546;3075211
POVIDONE IODEE	3517666;3145130;4153574;3534587;3152874;3010855;3203100
PRAMIPEXOLE	4963681;3979266;3634751;3909544;3934370;3907976;4990519;4924617;3974990;3793900;3979562;3953663;3793952;4990525;3934335;4970362;4963959;4963907;3974949;3968245;3979295;4153812;4963729;3934358;3793969;3968222;3793975;4153835;3979527;3968239;3634691;3912368;3911340;3634679;3634716;3634745;4970333;3974978;3974903;3968251;3974926;3934312;4990815;3974961;3974955;4990821;4924592;3953605
PRASUGREL	3921203;3987969
PRAVASTATINE	3714007;3745485;3745574;3745568;3756359;3701861;3699472;3745479;3754840;3861843;2182413;4929856;4190003;3698739;3765393;2192104;3739817;3755704;3861777;3701921;3901382;3711931;3511422;3737698;3861754;3690896;3699466;3748199;3861814;3737853;3699383;3745516;2191978;3873208;3441644;3737830;3705669;3711919;4159884;3704776;3763000;4190026;3701849;3748207;3322135;4929767;3701803;2190720;3756589;2184665;3746697;3861783;3745491;4159878;2196125;3511416;3322112;2184576;3705646;3704730;3746869;3686311;3746711;3701795;3804101;2192156;3735943;2184688;4158896;2190737;3713999;3701855;3668247;3861820;3745522;3686357;3739674;3792384;3704061;3927648;3755609;3755578;3765418;3755756;3668276;3668253;3901494;3745545;3774222;4176233;3701944;3701909;3701967;2192015;2182436;3704150;3927677;3742245;3774245;3762986;2192050;2192073;3735920;3736598;3861748;3701826;2184642;3736606;2190772;2190766;2192038;3873183;3745551;2192191;3861725;3686334;3701832;3322141;3762957;3901270;3322129;3690873;3701884;4159909;2184613
PRAZEPAM	3261072;3975512;3533949;3183662;3533984;3311686
PRAZIQUANTEL	3251381
PRAZOSINE	3729658;3729629;3311775;3311723;3224705;3729664;3224711
PREDNISOLONE	3028878;3028884;3910961;3910748;3201466;3648173;3608742;3680679;3574032;3910719;3611738;3910932;3910659;3910820;3613714;3910866;3619645;3493670;3910895;3608788;3282039;3493687;3910688;3574055;3613708;3608765;3097520;3910346;3674791;3051564;3051558
PREDNISONE	3651838;3652200;3652111;3675773;3328385;3464119;3855920;3025897;3855883;3666521;3651927;3652312;3652163;3025905;3648730;3652157;3652080;3651991;3855943;3652140;3464125;3652370;3855937;3652252;3666567;3652341;3464102;3651850;3651979
PREGABALINE	3651330;3651293;3651318;3651287;3651270;3651324;3651353;3651301
PRIMIDONE	3069825
PRISTINAMYCINE	3393721;3135858
PROBENECIDE	3010482
PROCARBAZINE	3070248
PROGESTERONE	3620884;3154577;3587678;3587632;3620849;3567138;3581138;3580498;3461049;3521828;3680739;3483996;3603733;3741487;3521751;3232751;3617899;3582505;3741501;3878602
PROGUANIL	3320981;3622647;3442980;3412795
PROMEGESTONE	3313314;3364286;3249183;3249154
PROMESTRIENE	3213593;3162329;3162312
PROMETHAZINE	3253523;3082286;3082240;3160508;3063107;3277877;3636885;3458366
PROPAFENONE	3265710
PROPERICIAZINE	3186962;3542718;3071696;3272584
PROPRANOLOL	3008976;3322589;3238736;3356973;3714326;3723414;3723437;3714349;3723093;3656764;3723118;3356996
PRUCALOPRIDE	4941656;4941627;4185002
PSEUDOEPHEDRINE	3333297;3558317;3340848;3388565;3762070;3556293;3447463;3826261;3436258;3698604;3412559;3333280;3575327;3443790
PYRAZINAMIDE	3299353;3238707
PYRIDOSTIGMINE	3616279
